Radicado	Acta Conciliacion	Prefijo Factura	# Factura	CONCATENAR	NOTA CREDITO	Valor Factura	Total Glosas	Valor Aceptado en Conciliacion
861112	AC000862	HUS	481348	HUS481348	309333	$ 114.236	$ 7.473	$ 7.473
861498	AC000862	HUS	480699	HUS480699	309282	$ 247.765	$ 16.209	$ 16.209
861499	AC000862	HUS	480735	HUS480735	309291	$ 114.236	$ 7.473	$ 7.473
861500	AC000862	HUS	480788	HUS480788	309296	$ 114.236	$ 7.473	$ 7.473
862825	AC000862	HUS	481068	HUS481068	309304	$ 674.214	$ 160.331	$ 160.331
862827	AC000862	HUS	481189	HUS481189	309314	$ 114.236	$ 7.474	$ 7.474
862828	AC000862	HUS	481308	HUS481308	309326	$ 80.775	$ 19.209	$ 19.209
862829	AC000862	HUS	481388	HUS481388	309335	$ 114.236	$ 7.474	$ 7.474
862830	AC000862	HUS	481407	HUS481407	309338	$ 114.236	$ 7.474	$ 7.474
862831	AC000862	HUS	481538	HUS481538	309340	$ 114.236	$ 7.474	$ 7.474
862832	AC000862	HUS	481852	HUS481852	309346	$ 114.236	$ 7.474	$ 7.474
862833	AC000862	HUS	481915	HUS481915	309353	$ 114.236	$ 7.474	$ 7.474
862834	AC000862	HUS	481941	HUS481941	309356	$ 114.236	$ 7.474	$ 7.474
865194	AC000862	HUS	482898	HUS482898	309359	$ 114.236	$ 7.473	$ 7.473
865195	AC000862	HUS	482981	HUS482981	309360	$ 247.765	$ 19.209	$ 16.209
865196	AC000862	HUS	483049	HUS483049	309361	$ 114.236	$ 7.473	$ 7.473
865199	AC000862	HUS	483189	HUS483189	309362	$ 87.835	$ 19.209	$ 5.746
865200	AC000862	HUS	483269	HUS483269	309367	$ 87.835	$ 19.209	$ 5.746
865201	AC000862	HUS	483283	HUS483283	309370	$ 114.236	$ 7.473	$ 7.473
865202	AC000862	HUS	483332	HUS483332	309375	$ 3.305.225	$ 216.230	$ 216.230
865203	AC000862	HUS	483542	HUS483542	309376	$ 247.765	$ 19.209	$ 16.209
865204	AC000862	HUS	483556	HUS483556	309377	$ 114.236	$ 7.473	$ 7.473
865205	AC000862	HUS	483819	HUS483819	309378	$ 80.775	$ 16.209	$ 16.209
865645	AC000862	HUS	480185	HUS480185	309263	$ 80.775	$ 19.209	$ 19.209
865647		HUS	480692	HUS480692	309276	$ 381.928	$ 90.822	$ 90.822
